code,qr_url,status,batch_name,assigned_to
PF-000101,https://farecoh.org/t/cb503e42857d554f3b048b72cbc486b3a7dcdbc1d9681054e7adf16fe268682e,available,LOTE GENERAL 001,
PF-000102,https://farecoh.org/t/5f75097fddafb01d5aa11ce00588f412e65334ef2a8704b233e388c899845b19,available,LOTE GENERAL 001,
PF-000103,https://farecoh.org/t/240f22e8f9fdf48bc69ed99209f2f1d479f98025e1f1dd32622a60a41f38c752,available,LOTE GENERAL 001,
PF-000104,https://farecoh.org/t/318c2d95646d9f35309c9f10e36ef4f6affacb7ffac4a52f1c910cfb00830b69,available,LOTE GENERAL 001,
PF-000105,https://farecoh.org/t/1d9a43abe9a2310baeeb4bdf0e913bc9470374386162bbde39afe543f7beb444,available,LOTE GENERAL 001,
PF-000106,https://farecoh.org/t/d6e1c7d932abc7aa266b8db7422566e526436c405037a09c0f4ad9052ee29062,available,LOTE GENERAL 001,
PF-000107,https://farecoh.org/t/2024490f6aecd2e02bd7986b9b04e2ee8b42c6fd7e711508c93b48c63268498a,available,LOTE GENERAL 001,
PF-000108,https://farecoh.org/t/afddfd4a1e29704cf5531f9727b86d263065642f60073d0c8c4cb9306baba941,available,LOTE GENERAL 001,
PF-000109,https://farecoh.org/t/c46da24dc70bd005fb291597d19d2a5a55c473153148e7c9bbf51f1255e12675,available,LOTE GENERAL 001,
PF-000110,https://farecoh.org/t/f3a22f116ec9b5f33e70f684b712ba7bb8653578b5924adcd74a4e3233a2d7ab,available,LOTE GENERAL 001,
PF-000111,https://farecoh.org/t/3493551e591e1439e429eb08fc0201affc92039f7ceaca846797fc49bc12caed,available,LOTE GENERAL 001,
PF-000112,https://farecoh.org/t/2710d61a60b1af7b608ccbf82b8a6dce6c92f9909acee00ff55330c37927c9cc,available,LOTE GENERAL 001,
PF-000113,https://farecoh.org/t/0561d3c9096ded5095390bf22a99ee7393b7fde78a17f6c29669f1b9d3126739,available,LOTE GENERAL 001,
PF-000114,https://farecoh.org/t/fd37252385f8f0d8c8ff17663ef25b392ade8faf9545f6172d8405a30c403cf8,available,LOTE GENERAL 001,
PF-000115,https://farecoh.org/t/cbfc38de486597eae6d872b1ee4ed7f7c71dfc695719466ea7721e25b2c9b0dd,available,LOTE GENERAL 001,
PF-000116,https://farecoh.org/t/6d7b9a4a4c8d12b1dcab9d4d060df876ced75b0a2174ef39826225d792f6985c,available,LOTE GENERAL 001,
PF-000117,https://farecoh.org/t/b69d01ed787765a4e0b472de56e36e9ae4688f32fad91ac8dccbbfc59dd50664,available,LOTE GENERAL 001,
PF-000118,https://farecoh.org/t/a5cc6975f8888cd294f458120f08eb72167954225cd00ec8c071ea3512118bd9,available,LOTE GENERAL 001,
PF-000119,https://farecoh.org/t/736e054a4c8785faf2f89061e70d0b7ebca4d8babf116d2c3714d17a5b770065,available,LOTE GENERAL 001,
PF-000120,https://farecoh.org/t/034e87949c70eb6fd08bf908b2642bf036b86658e99ba76050f8e0a307016469,available,LOTE GENERAL 001,
PF-000121,https://farecoh.org/t/7bc941dbf954cb4ddcb381cceb3aefe3e173e5133798a46458add99ee5ee65bd,available,LOTE GENERAL 001,
PF-000122,https://farecoh.org/t/f59b1d69cc43b55f27567ce139c153d1fc976ca3c22b079ab92f67f39d973ec6,available,LOTE GENERAL 001,
PF-000123,https://farecoh.org/t/ac4e03074fadfec1a4fe9ba3e8ef9623922331b058c1b7abe94e659df93fddae,available,LOTE GENERAL 001,
PF-000124,https://farecoh.org/t/1d3274a4f35cad87ac67b232170005bc6932447aaf888ebab6f81175b33f0277,available,LOTE GENERAL 001,
PF-000125,https://farecoh.org/t/a03aa1bd68e15b98cd11acdad79803ad2bbbaa224114bbd14923bcfd5d41926b,available,LOTE GENERAL 001,
PF-000126,https://farecoh.org/t/cdba6a6ee6ee6cad333424bd67aa65e3aa448202fbfee816fe98c0d81ef5d647,available,LOTE GENERAL 001,
PF-000127,https://farecoh.org/t/d6a076fca25564aedb5146e343166e22f52c16993ca93c450e835a230cc89299,available,LOTE GENERAL 001,
PF-000128,https://farecoh.org/t/1cf0f31c84eaedd3936287e720297ebb6099b59ff5bbe97e51a758830a72f691,available,LOTE GENERAL 001,
PF-000129,https://farecoh.org/t/2a77fd4ab10566f7efacbf43bec2b68be4316ba58be8e91bd526e3511711c235,available,LOTE GENERAL 001,
PF-000130,https://farecoh.org/t/27fef2ffe8c2ab95a2807370ef81103435e51f0b85219badbffe25cc4c3b4a6a,available,LOTE GENERAL 001,
PF-000131,https://farecoh.org/t/54f57af3894c04e57e211dfe8d031cc78091b7ea51ad4fa8c057c0b67a9f2f27,available,LOTE GENERAL 001,
PF-000132,https://farecoh.org/t/653384e16a30d1ada0b4c9ec89e93aa4639ed914bbf8bbcf32e66fe266152a8b,available,LOTE GENERAL 001,
PF-000133,https://farecoh.org/t/372d388b973281121c6196a57eaaf863fc76dfa34630f522bc2c5ad6eed15581,available,LOTE GENERAL 001,
